month,id,number_of_entrances
2016-10-31,cead7950bb4a579dce368d78b7f45f83,161
2016-10-31,e4688ac6e1d6475fe375287383e65197,2
2016-10-31,117e10784612007cab1695eeec9822ac,66
2016-10-31,bb1369709da0ed4a799eb4fee21f2853,8
2016-10-31,c31da5bc4ff02075c2ff4a15d9c2453f,41
2016-10-31,9fb9019e23330406a1e4bc2915aeed78,3
2016-10-31,6932c376ea7ac66780f1d807177fc45a,59
2016-10-31,3e8bde04ffcb62f48bc79acaa7fdb958,5
2016-10-31,c78db76a6eea214e5edbdccec1b10c87,141
2016-10-31,bd89df0f8a2b842a1c75cfa2c7b0193d,3
2016-10-31,65e08d94cc3269436ee099351e6b428b,1
2016-10-31,236a3aa32c4fccb44ce716d49cfae46e,3
2016-10-31,8a9d6a36f741616da1d99c460aee23eb,15
2016-10-31,977c0e9ad5f2e602e4a9ad4f48ad8c3b,3
2016-10-31,7eaa3ad0467b122463a701f6018daf85,27
2016-10-31,949863a69c3ba6d3a74044bf49a13391,122
2016-10-31,a6358fef4f4d5b0aaaa6c1b0cebfb7b0,8
2016-10-31,3feb02a758f4c19be33bd5aa572f8976,41
2016-10-31,c408b414958337ccd5847a4aa115e5a4,33
2016-10-31,0fb5be687af76ce9e9ae292cd90a91fa,5
2016-10-31,97795c9677525b5184b94e14dff8b15f,2
2016-10-31,94bacba1ecdd01cd8075f497f72cb5e7,25
2016-10-31,a6ad51b60d0990b7aa5b0b04dfae9bc5,18
2016-10-31,a721e5c9e2afa1b0a9de97073033af1a,1
2016-10-31,975b5e4f6d2aa097aee84335e62bb05d,3
2016-10-31,88e0e1f44bc18ba5a42a1cd1d320459f,24
2016-10-31,1b92638004b7c5ba9ffbdb2be35bceec,28
2016-10-31,673be6ab7838133c28d522566737d272,6
2016-10-31,1f442ad66f24ce20770270d82b3c7186,3
2016-10-31,a795049f68aea13c9fca39a52d80151e,95
2016-10-31,35ced71a872ef727f23db81f37a05dc8,2
2016-10-31,e073940b2512808173702532621c58b8,3
2016-10-31,4208b399db19b9bad5070f0c4c349f70,35
2016-10-31,8a1c7f47edf87a1b926ac6037c720ff5,11
2016-10-31,47288b5bb42f2cc9e3a40589a6bdb3a1,1
2016-10-31,e396ed5be21895af26996c296fca3b73,74
2016-10-31,4888c6e38bb60fdfe699225f85e79398,33
2016-10-31,b239176d9e2fd0f251117e8d33efb646,20
2016-10-31,acb7be3228432b3e6a46a09e0d28d6fe,7
2016-10-31,49c5c7167ea0f151e6ab0193570e148f,7
2016-10-31,fa95b844b5a9e03411b2abb2afc15d48,4
2016-10-31,2fa68f148bfd958b6922226b473573ff,1
2016-10-31,a18ce7a5d528c2c241d3910444372d81,8
2016-10-31,aead7ca84d10b416bd421f790c4aba06,103
2016-10-31,183ed377b71039b04ef91e6e48168046,43
2016-10-31,6a81b4904d9897cf4f94cd6bc7f7cb47,156
2016-10-31,d47bf51520250470afbe8149cf2a6ef3,71
2016-10-31,e8eb678777bc2d478e67118f172fd07a,4
2016-10-31,e5fb7f18a1cf15b14b786a22e9c689ca,10
2016-10-31,7eda624d6aa7e9c08629eef3e11aba81,2
2016-10-31,eb712cf3f1f9d0b4a1d07c287ac3ff57,14
2016-10-31,ecd1d215fa32736ea6c695680d9ee2d0,6
2016-10-31,c4c64aaa03db23ba7c234c63e49dba95,28
2016-10-31,f5b87d619a16a01e2f9a302b3d821f11,14
2016-10-31,4d011d339047a7ed63c8994e5c3f9a5a,3
2016-10-31,3cc92ce6595714cabb29bb730b49cdca,14
2016-10-31,4cc7b3cfc5fa20bec8281fe560151f11,53
2016-10-31,247bad08ebb8a37d50773297ed396891,4
2016-10-31,6ff204a84e65ff3d84ff5504da84b392,35
2016-10-31,2bdb35e76592c192bb7c1f28abbafd44,7
2016-10-31,064caf71538791251da433ad63036ede,21
2016-10-31,649d270bfd3728ebb2c719fc76179bee,11
